lat,lon,time,spatial_ref,tmax
16.5,76.5,1951-04-23,0,35.52000045776367
16.5,76.5,1951-04-24,0,37.20000076293945
16.5,76.5,1951-04-25,0,38.209999084472656
16.5,76.5,1951-04-26,0,38.68000030517578
16.5,76.5,1951-04-27,0,39.029998779296875
16.5,76.5,1951-04-28,0,38.689998626708984
16.5,76.5,1951-04-29,0,39.220001220703125
16.5,76.5,1951-04-30,0,39.040000915527344
16.5,76.5,1951-05-01,0,38.790000915527344
16.5,76.5,1951-05-02,0,38.540000915527344
16.5,76.5,1951-05-03,0,38.90999984741211
16.5,76.5,1951-05-04,0,39.2400016784668
16.5,76.5,1951-05-05,0,38.2400016784668
16.5,76.5,1951-05-06,0,38.709999084472656
16.5,76.5,1951-05-07,0,38.9900016784668
16.5,76.5,1951-05-08,0,38.47999954223633
16.5,76.5,1951-05-09,0,40.79999923706055
16.5,76.5,1951-05-10,0,41.349998474121094
16.5,76.5,1951-05-11,0,41.7400016784668
16.5,76.5,1951-05-12,0,41.400001525878906
16.5,76.5,1951-05-13,0,40.34000015258789
16.5,76.5,1951-05-14,0,41.189998626708984
16.5,76.5,1951-05-15,0,41.54999923706055
16.5,76.5,1951-05-16,0,41.36000061035156
16.5,76.5,1951-05-17,0,41.529998779296875
16.5,76.5,1951-05-18,0,41.68000030517578
16.5,76.5,1951-05-19,0,39.91999816894531
16.5,76.5,1951-05-20,0,40.5
16.5,76.5,1951-05-21,0,39.93000030517578
16.5,76.5,1951-05-22,0,40.09000015258789
16.5,76.5,1951-05-23,0,39.08000183105469
16.5,76.5,1951-05-24,0,37.880001068115234
16.5,76.5,1951-05-25,0,38.029998779296875
16.5,76.5,1951-05-26,0,36.90999984741211
16.5,76.5,1951-05-27,0,37.40999984741211
16.5,76.5,1951-05-28,0,36.150001525878906
16.5,76.5,1951-05-29,0,38.47999954223633
16.5,76.5,1951-05-30,0,36.459999084472656
16.5,76.5,1951-05-31,0,37.439998626708984
16.5,76.5,1951-06-01,0,34.630001068115234
